exposure	metabolite	nsnp	b	se	pval	direction	UKB_label	UKB_name	UKB_name2	UKB_unit	UKB_class	UKB_subclass	UKB_subclass_unit	UKB_derived
BMI	xlhdlpl	264	-0.384104589637102	0.0320939493168253	5.21910506312243e-33	-	xlhdlpl	XL_HDL_PL	Phospholipids in very large HDL	mmol/l	Lipoprotein subclasses	Very large HDL	average diameter 14.3 nm	no
BMI	dhapct	264	-0.233619879289241	0.0283022345884505	1.52580823884383e-16	-	dhapct	DHA_pct	Ratio of docosahexaenoic acid to total fatty acids	%	Fatty acids	Fatty acid ratios		yes
BMI	xxlvldlpl	264	0.236965626325161	0.0322956511708113	2.17807409896604e-13	+	xxlvldlpl	XXL_VLDL_PL	Phospholipids in chylomicrons and extremely large VLDL	mmol/l	Lipoprotein subclasses	Chylomicrons and extremely large VLDL	particle diameters from 75 nm upwards	no
BMI	xxlvldlc	264	0.222425199140888	0.0326371861322115	9.42080174739984e-12	+	xxlvldlc	XXL_VLDL_C	Cholesterol in chylomicrons and extremely large VLDL	mmol/l	Lipoprotein subclasses	Chylomicrons and extremely large VLDL	particle diameters from 75 nm upwards	no
BMI	mvldltgpct	264	0.26894324440631	0.036802061628902	2.71489072867e-13	+	mvldltgpct	M_VLDL_TG_pct	Triglycerides to total lipids ratio in medium VLDL	%	Relative lipoprotein lipid concentrations	Medium VLDL ratios		yes
BMI	lhdlce	264	-0.396120397271724	0.034276889028126	6.84528309716298e-31	-	lhdlce	L_HDL_CE	Cholesteryl esters in large HDL	mmol/l	Lipoprotein subclasses	Large HDL	average diameter 12.1 nm	no
BMI	xlvldlpl	264	0.205384650750778	0.0338437400000322	1.2901748160101e-09	+	xlvldlpl	XL_VLDL_PL	Phospholipids in very large VLDL	mmol/l	Lipoprotein subclasses	Very large VLDL	average diameter 64 nm	no
BMI	lvldlcpct	264	-0.137665185781265	0.0299862557402912	4.41248200038061e-06	-	lvldlcpct	L_VLDL_C_pct	Cholesterol to total lipids ratio in large VLDL	%	Relative lipoprotein lipid concentrations	Large VLDL ratios		yes
BMI	leu	264	0.229953052991863	0.0255302705973214	2.1162603054503e-19	+	leu	Leu	Leucine	mmol/l	Amino acids	Branched-chain amino acids		no
BMI	lhdlcepct	264	-0.371312153247684	0.0328631910770215	1.33137140894286e-29	-	lhdlcepct	L_HDL_CE_pct	Cholesteryl esters to total lipids ratio in large HDL	%	Relative lipoprotein lipid concentrations	Large HDL ratios		yes
BMI	idlfc	264	-0.198807833463244	0.0393710777255901	4.42757356711966e-07	-	idlfc	IDL_FC	Free cholesterol in IDL	mmol/l	Lipoprotein subclasses	IDL	average diameter 28.6 nm	no
BMI	val	264	0.239663054032251	0.0264225646653885	1.18588156615571e-19	+	val	Val	Valine	mmol/l	Amino acids	Branched-chain amino acids		no
BMI	xlhdlfc	264	-0.366861856941875	0.0324460422993353	1.21397739148077e-29	-	xlhdlfc	XL_HDL_FC	Free cholesterol in very large HDL	mmol/l	Lipoprotein subclasses	Very large HDL	average diameter 14.3 nm	no
BMI	lvldlplpct	264	0.248037690469714	0.0333340122952022	9.99417219143504e-14	+	lvldlplpct	L_VLDL_PL_pct	Phospholipids to total lipids ratio in large VLDL	%	Relative lipoprotein lipid concentrations	Large VLDL ratios		yes
BMI	mvldlce	264	-0.148262028016555	0.0389663740797441	0.000141878093427071	-	mvldlce	M_VLDL_CE	Cholesteryl esters in medium VLDL	mmol/l	Lipoprotein subclasses	Medium VLDL	average diameter 44.5 nm	no
BMI	xlhdlp	264	-0.409882386000533	0.0319414903246413	1.08123998278572e-37	-	xlhdlp	XL_HDL_P	Concentration of very large HDL particles	mmol/l	Lipoprotein subclasses	Very large HDL	average diameter 14.3 nm	no
BMI	lhdlc	264	-0.394772483633539	0.0341283501724094	6.0359965577531e-31	-	lhdlc	L_HDL_C	Cholesterol in large HDL	mmol/l	Lipoprotein subclasses	Large HDL	average diameter 12.1 nm	no
BMI	svldltgpct	264	0.198982378110053	0.0396577094097909	5.23494300631558e-07	+	svldltgpct	S_VLDL_TG_pct	Triglycerides to total lipids ratio in small VLDL	%	Relative lipoprotein lipid concentrations	Small VLDL ratios		yes
BMI	phosphoglyc	264	-0.150442988433881	0.0284899389299831	1.28785777480394e-07	-	phosphoglyc	Phosphoglyc	Phosphoglycerides	mmol/l	Other lipids	Other lipids		no
BMI	mufa	264	0.16309018201428	0.0317088324936425	2.69856842095109e-07	+	mufa	MUFA	Monounsaturated fatty acids	mmol/l	Fatty acids	Fatty acids		no
BMI	idltgpct	264	0.292260309256483	0.0371635690968003	3.71577916094761e-15	+	idltgpct	IDL_TG_pct	Triglycerides to total lipids ratio in IDL	%	Relative lipoprotein lipid concentrations	IDL ratios		yes
BMI	idltg	264	0.124431474165989	0.0308281830046761	5.43031817778419e-05	+	idltg	IDL_TG	Triglycerides in IDL	mmol/l	Lipoprotein subclasses	IDL	average diameter 28.6 nm	no
BMI	xsvldlcepct	264	-0.303336176412853	0.0362329663613521	5.67310225458181e-17	-	xsvldlcepct	XS_VLDL_CE_pct	Cholesteryl esters to total lipids ratio in very small VLDL	%	Relative lipoprotein lipid concentrations	Very small VLDL ratios		yes
BMI	xlvldll	264	0.21508329195523	0.0337566180540922	1.87079832060461e-10	+	xlvldll	XL_VLDL_L	Total lipids in very large VLDL	mmol/l	Lipoprotein subclasses	Very large VLDL	average diameter 64 nm	no
BMI	xlvldlcpct	264	-0.257786854550681	0.0322500802374072	1.31298307126737e-15	-	xlvldlcpct	XL_VLDL_C_pct	Cholesterol to total lipids ratio in very large VLDL	%	Relative lipoprotein lipid concentrations	Very large VLDL ratios		yes
BMI	xlhdlcepct	264	-0.140238847695529	0.0318291133494343	1.05300408187446e-05	-	xlhdlcepct	XL_HDL_CE_pct	Cholesteryl esters to total lipids ratio in very large HDL	%	Relative lipoprotein lipid concentrations	Very large HDL ratios		yes
BMI	lhdlpl	264	-0.346533169257825	0.0343002741902072	5.36174586608189e-24	-	lhdlpl	L_HDL_PL	Phospholipids in large HDL	mmol/l	Lipoprotein subclasses	Large HDL	average diameter 12.1 nm	no
BMI	svldlfcpct	264	-0.265011527876097	0.0390537119962978	1.15427603289899e-11	-	svldlfcpct	S_VLDL_FC_pct	Free cholesterol to total lipids ratio in small VLDL	%	Relative lipoprotein lipid concentrations	Small VLDL ratios		yes
BMI	idlpl	264	-0.183517719889115	0.0383599190870376	1.71754473629611e-06	-	idlpl	IDL_PL	Phospholipids in IDL	mmol/l	Lipoprotein subclasses	IDL	average diameter 28.6 nm	no
BMI	shdltg	264	0.25064390865138	0.0330666393106121	3.45653026426049e-14	+	shdltg	S_HDL_TG	Triglycerides in small HDL	mmol/l	Lipoprotein subclasses	Small HDL	average diameter 8.7 nm	no
BMI	sldlfcpct	264	-0.230797317249958	0.0351454889714744	5.13695407193839e-11	-	sldlfcpct	S_LDL_FC_pct	Free cholesterol to total lipids ratio in small LDL	%	Relative lipoprotein lipid concentrations	Small LDL ratios		yes
BMI	xlvldltg	264	0.232088510276422	0.0331949210152162	2.71599562205548e-12	+	xlvldltg	XL_VLDL_TG	Triglycerides in very large VLDL	mmol/l	Lipoprotein subclasses	Very large VLDL	average diameter 64 nm	no
BMI	omega3pct	264	-0.106264109412469	0.027473568274468	0.000109791494474097	-	omega3pct	Omega_3_pct	Ratio of omega-3 fatty acids to total fatty acids	%	Fatty acids	Fatty acid ratios		yes
BMI	acetate	264	-0.116499525462995	0.0236983521416258	8.83603470581046e-07	-	acetate	Acetate	Acetate	mmol/l	Ketone bodies	Ketone bodies		no
BMI	pufa	264	-0.127269947090327	0.0319637114181129	6.84237738809418e-05	-	pufa	PUFA	Polyunsaturated fatty acids	mmol/l	Fatty acids	Fatty acids		no
BMI	mldlfcpct	264	-0.287196553709301	0.0354362770558484	5.29229808465834e-16	-	mldlfcpct	M_LDL_FC_pct	Free cholesterol to total lipids ratio in medium LDL	%	Relative lipoprotein lipid concentrations	Medium LDL ratios		yes
BMI	xlhdlfcpct	264	0.368640499098681	0.0330584502565344	7.06685340611489e-29	+	xlhdlfcpct	XL_HDL_FC_pct	Free cholesterol to total lipids ratio in very large HDL	%	Relative lipoprotein lipid concentrations	Very large HDL ratios		yes
BMI	lldlcepct	264	-0.147606530707353	0.0305311971833125	1.3340473481952e-06	-	lldlcepct	L_LDL_CE_pct	Cholesteryl esters to total lipids ratio in large LDL	%	Relative lipoprotein lipid concentrations	Large LDL ratios		yes
WHR	shdlpl	223	0.193463665271028	0.0337845094594541	1.02583284731311e-08	+	shdlpl	S_HDL_PL	Phospholipids in small HDL	mmol/l	Lipoprotein subclasses	Small HDL	average diameter 8.7 nm	no
WHR	xsvldlplpct	223	0.172446677999301	0.0378170734557273	5.11483195267403e-06	+	xsvldlplpct	XS_VLDL_PL_pct	Phospholipids to total lipids ratio in very small VLDL	%	Relative lipoprotein lipid concentrations	Very small VLDL ratios		yes
WHR	sphingomyelins	223	-0.13653431346215	0.0360326235473358	0.000151141707399293	-	sphingomyelins	Sphingomyelins	Sphingomyelins	mmol/l	Other lipids	Other lipids		no
WHR	mvldlplpct	223	-0.214210740956703	0.0426539473860142	5.11198457447835e-07	-	mvldlplpct	M_VLDL_PL_pct	Phospholipids to total lipids ratio in medium VLDL	%	Relative lipoprotein lipid concentrations	Medium VLDL ratios		yes
WHR	lhdlc	223	-0.553181808730164	0.0392551598243333	4.25634811653285e-45	-	lhdlc	L_HDL_C	Cholesterol in large HDL	mmol/l	Lipoprotein subclasses	Large HDL	average diameter 12.1 nm	no
WHR	shdltg	223	0.510053415058563	0.0439847917192158	4.31131339090506e-31	+	shdltg	S_HDL_TG	Triglycerides in small HDL	mmol/l	Lipoprotein subclasses	Small HDL	average diameter 8.7 nm	no
WHR	xlvldltgpct	223	0.281653028340638	0.0424343557111978	3.19303409740101e-11	+	xlvldltgpct	XL_VLDL_TG_pct	Triglycerides to total lipids ratio in very large VLDL	%	Relative lipoprotein lipid concentrations	Very large VLDL ratios		yes
WHR	lapct	223	-0.294031834207825	0.0323151338787429	9.12600885475606e-20	-	lapct	LA_pct	Ratio of linoleic acid to total fatty acids	%	Fatty acids	Fatty acid ratios		yes
WHR	nonhdlc	223	0.167845553844249	0.0362671550609004	3.69157001562212e-06	+	nonhdlc	non_HDL_C	Total cholesterol minus HDL-C	mmol/l	Cholesterol	Cholesterol		no
WHR	ile	223	0.219168011438294	0.0273719329367627	1.17507531025562e-15	+	ile	Ile	Isoleucine	mmol/l	Amino acids	Branched-chain amino acids		no
WHR	ldlce	223	0.178502631623147	0.0360898436905518	7.57295552803233e-07	+	ldlce	LDL_CE	Cholesteryl esters in LDL	mmol/l	Cholesteryl esters	Cholesteryl esters		no
WHR	mvldlpl	223	0.326833416899376	0.034251113824063	1.39737888654487e-21	+	mvldlpl	M_VLDL_PL	Phospholipids in medium VLDL	mmol/l	Lipoprotein subclasses	Medium VLDL	average diameter 44.5 nm	no
WHR	idltg	223	0.304104655737541	0.0354404508082007	9.42794900431089e-18	+	idltg	IDL_TG	Triglycerides in IDL	mmol/l	Lipoprotein subclasses	IDL	average diameter 28.6 nm	no
WHR	sldltg	223	0.402063100983434	0.041645449342334	4.70767162370947e-22	+	sldltg	S_LDL_TG	Triglycerides in small LDL	mmol/l	Lipoprotein subclasses	Small LDL	average diameter 18.7 nm	no
WHR	lhdlcepct	223	-0.507945068158717	0.0387490975070474	2.94110219891931e-39	-	lhdlcepct	L_HDL_CE_pct	Cholesteryl esters to total lipids ratio in large HDL	%	Relative lipoprotein lipid concentrations	Large HDL ratios		yes
WHR	mufa	223	0.341233032143293	0.0360538737287503	2.94879290817671e-21	+	mufa	MUFA	Monounsaturated fatty acids	mmol/l	Fatty acids	Fatty acids		no
WHR	mldlplpct	223	-0.164067146605861	0.0329641455958556	6.45308611667998e-07	-	mldlplpct	M_LDL_PL_pct	Phospholipids to total lipids ratio in medium LDL	%	Relative lipoprotein lipid concentrations	Medium LDL ratios		yes
WHR	xlhdltgpct	223	0.527762349953306	0.0442644553185907	8.98821423224071e-33	+	xlhdltgpct	XL_HDL_TG_pct	Triglycerides to total lipids ratio in very large HDL	%	Relative lipoprotein lipid concentrations	Very large HDL ratios		yes
WHR	glyca	223	0.341225063401083	0.0370450520233793	3.22849707179342e-20	+	glyca	GlycA	Glycoprotein acetyls	mmol/l	Inflammation	Inflammation		no
WHR	shdlce	223	0.145776273634769	0.0313946914625563	3.42819013459331e-06	+	shdlce	S_HDL_CE	Cholesteryl esters in small HDL	mmol/l	Lipoprotein subclasses	Small HDL	average diameter 8.7 nm	no
WHR	xlvldlc	223	0.473772737467624	0.0380858068180547	1.59271635931123e-35	+	xlvldlc	XL_VLDL_C	Cholesterol in very large VLDL	mmol/l	Lipoprotein subclasses	Very large VLDL	average diameter 64 nm	no
WHR	mhdlp	223	-0.282182216621242	0.0350352533317619	7.99764405270427e-16	-	mhdlp	M_HDL_P	Concentration of medium HDL particles	mmol/l	Lipoprotein subclasses	Medium HDL	average diameter 10.9 nm	no
WHR	xxlvldltg	223	0.408827739051926	0.0424809195000789	6.34450370989776e-22	+	xxlvldltg	XXL_VLDL_TG	Triglycerides in chylomicrons and extremely large VLDL	mmol/l	Lipoprotein subclasses	Chylomicrons and extremely large VLDL	particle diameters from 75 nm upwards	no
WHR	ala	223	0.167160670863828	0.0291176278295654	9.41884229645764e-09	+	ala	Ala	Alanine	mmol/l	Amino acids	Amino acids		no
WHR	vldltg	223	0.481069028693005	0.0424153605645953	8.1396974903627e-30	+	vldltg	VLDL_TG	Triglycerides in VLDL	mmol/l	Triglycerides	Triglycerides		no
WHR	totalp	223	-0.150997821490211	0.0332627678598922	5.63758289561361e-06	-	totalp	Total_P	Total concentration of lipoprotein particles	mmol/l	Lipoprotein particle concentrations	Lipoprotein particle concentrations		no
WHR	xlvldll	223	0.505901466212946	0.0413714925658259	2.19585654454015e-34	+	xlvldll	XL_VLDL_L	Total lipids in very large VLDL	mmol/l	Lipoprotein subclasses	Very large VLDL	average diameter 64 nm	no
WHR	mhdlce	223	-0.346326008960469	0.0358751201663392	4.74345852214604e-22	-	mhdlce	M_HDL_CE	Cholesteryl esters in medium HDL	mmol/l	Lipoprotein subclasses	Medium HDL	average diameter 10.9 nm	no
WHR	lldltg	223	0.307880069325011	0.0342396501538425	2.42956648397561e-19	+	lldltg	L_LDL_TG	Triglycerides in large LDL	mmol/l	Lipoprotein subclasses	Large LDL	average diameter 25.5 nm	no
WHR	xsvldlp	223	0.213764652468716	0.0318847446764064	2.02384604708915e-11	+	xsvldlp	XS_VLDL_P	Concentration of very small VLDL particles	mmol/l	Lipoprotein subclasses	Very small VLDL	average diameter 31.3 nm	no
WHR	xsvldlpl	223	0.221079011890549	0.0309820493662961	9.62867403715677e-13	+	xsvldlpl	XS_VLDL_PL	Phospholipids in very small VLDL	mmol/l	Lipoprotein subclasses	Very small VLDL	average diameter 31.3 nm	no
WHR	xlvldlplpct	223	0.157854097861807	0.0283635299012605	2.61567155492123e-08	+	xlvldlplpct	XL_VLDL_PL_pct	Phospholipids to total lipids ratio in very large VLDL	%	Relative lipoprotein lipid concentrations	Very large VLDL ratios		yes
WHR	xlhdlcpct	223	0.226269019234085	0.0335210061093442	1.47777443061498e-11	+	xlhdlcpct	XL_HDL_C_pct	Cholesterol to total lipids ratio in very large HDL	%	Relative lipoprotein lipid concentrations	Very large HDL ratios		yes
WHR	apoa1	223	-0.290547957474271	0.0351975380568607	1.52181422663243e-16	-	apoa1	ApoA1	Apolipoprotein A1	g/l	Apolipoproteins	Apolipoproteins		no
WHR	xlvldlcpct	223	-0.364734327382027	0.0454807931268535	1.06155435608645e-15	-	xlvldlcpct	XL_VLDL_C_pct	Cholesterol to total lipids ratio in very large VLDL	%	Relative lipoprotein lipid concentrations	Very large VLDL ratios		yes
WHR	mvldlc	223	0.164747643297494	0.0349477672945125	2.42768677531905e-06	+	mvldlc	M_VLDL_C	Cholesterol in medium VLDL	mmol/l	Lipoprotein subclasses	Medium VLDL	average diameter 44.5 nm	no
WHR	xlhdlce	223	-0.53562046795492	0.0398503580849353	3.48673498476518e-41	-	xlhdlce	XL_HDL_CE	Cholesteryl esters in very large HDL	mmol/l	Lipoprotein subclasses	Very large HDL	average diameter 14.3 nm	no
WHR	xxlvldlfcpct	223	-0.173530996974892	0.0305267444577864	1.31152726745824e-08	-	xxlvldlfcpct	XXL_VLDL_FC_pct	Free cholesterol to total lipids ratio in chylomicrons and extremely large VLDL	%	Relative lipoprotein lipid concentrations	Chylomicrons and extremely large VLDL ratios		yes
WHR	svldltg	223	0.46044208122994	0.0449209034745913	1.18266684639242e-24	+	svldltg	S_VLDL_TG	Triglycerides in small VLDL	mmol/l	Lipoprotein subclasses	Small VLDL	average diameter 36.8 nm	no
WHR	shdlcpct	223	-0.219275934303354	0.0379655848339364	7.66565220038084e-09	-	shdlcpct	S_HDL_C_pct	Cholesterol to total lipids ratio in small HDL	%	Relative lipoprotein lipid concentrations	Small HDL ratios		yes
WHR	mvldltgpct	223	0.347422028767653	0.0475270338913449	2.67167024029237e-13	+	mvldltgpct	M_VLDL_TG_pct	Triglycerides to total lipids ratio in medium VLDL	%	Relative lipoprotein lipid concentrations	Medium VLDL ratios		yes
WHR	xlhdlcepct	223	-0.128877893741335	0.0319911095969729	5.61211112255063e-05	-	xlhdlcepct	XL_HDL_CE_pct	Cholesteryl esters to total lipids ratio in very large HDL	%	Relative lipoprotein lipid concentrations	Very large HDL ratios		yes
WHR	svldltgpct	223	0.227860021941256	0.0493187813651564	3.83468173241507e-06	+	svldltgpct	S_VLDL_TG_pct	Triglycerides to total lipids ratio in small VLDL	%	Relative lipoprotein lipid concentrations	Small VLDL ratios		yes
WHR	lldlfcpct	223	-0.430812845667975	0.051457834717288	5.65751056215263e-17	-	lldlfcpct	L_LDL_FC_pct	Free cholesterol to total lipids ratio in large LDL	%	Relative lipoprotein lipid concentrations	Large LDL ratios		yes
WHR	mldll	223	0.266489718130718	0.036055664268659	1.45658606225215e-13	+	mldll	M_LDL_L	Total lipids in medium LDL	mmol/l	Lipoprotein subclasses	Medium LDL	average diameter 23 nm	no
WHR	mhdlfc	223	-0.307699799877833	0.0346180180001861	6.19788937214585e-19	-	mhdlfc	M_HDL_FC	Free cholesterol in medium HDL	mmol/l	Lipoprotein subclasses	Medium HDL	average diameter 10.9 nm	no
WHR	shdltgpct	223	0.497101321505158	0.0438006113500347	7.48556102401043e-30	+	shdltgpct	S_HDL_TG_pct	Triglycerides to total lipids ratio in small HDL	%	Relative lipoprotein lipid concentrations	Small HDL ratios		yes
WHR	hdlc	223	-0.45016147803401	0.0375397691203974	3.93288020510035e-33	-	hdlc	HDL_C	HDL cholesterol	mmol/l	Cholesterol	Cholesterol		no
WHR	mhdlpl	223	-0.190516191973328	0.0333861609908361	1.15362178231618e-08	-	mhdlpl	M_HDL_PL	Phospholipids in medium HDL	mmol/l	Lipoprotein subclasses	Medium HDL	average diameter 10.9 nm	no
WHR	svldlcpct	223	-0.184110725602587	0.0475896306001865	0.000109410362658871	-	svldlcpct	S_VLDL_C_pct	Cholesterol to total lipids ratio in small VLDL	%	Relative lipoprotein lipid concentrations	Small VLDL ratios		yes
WHR	mldlc	223	0.252734383712394	0.0361417355099048	2.69322995331724e-12	+	mldlc	M_LDL_C	Cholesterol in medium LDL	mmol/l	Lipoprotein subclasses	Medium LDL	average diameter 23 nm	no
WHR	mvldlfcpct	223	-0.292083659784888	0.0461095872288161	2.38029145154963e-10	-	mvldlfcpct	M_VLDL_FC_pct	Free cholesterol to total lipids ratio in medium VLDL	%	Relative lipoprotein lipid concentrations	Medium VLDL ratios		yes
WHR	ldltg	223	0.33796869790964	0.0360363590561541	6.68879127782638e-21	+	ldltg	LDL_TG	Triglycerides in LDL	mmol/l	Triglycerides	Triglycerides		no
WHR	omega3	223	0.128261536366974	0.0323965909068393	7.52308540512185e-05	+	omega3	Omega_3	Omega-3 fatty acids	mmol/l	Fatty acids	Fatty acids		no
WHR	xsvldlfc	223	0.180531430656759	0.031591249150419	1.09960768352119e-08	+	xsvldlfc	XS_VLDL_FC	Free cholesterol in very small VLDL	mmol/l	Lipoprotein subclasses	Very small VLDL	average diameter 31.3 nm	no
WHR	xlvldlpl	223	0.49644834379636	0.0405324293502847	1.71816034657904e-34	+	xlvldlpl	XL_VLDL_PL	Phospholipids in very large VLDL	mmol/l	Lipoprotein subclasses	Very large VLDL	average diameter 64 nm	no
WHR	xlhdlc	223	-0.525213962227373	0.0401961240130849	5.13116455623514e-39	-	xlhdlc	XL_HDL_C	Cholesterol in very large HDL	mmol/l	Lipoprotein subclasses	Very large HDL	average diameter 14.3 nm	no
WHR	lldlp	223	0.156882200987652	0.0360508238299145	1.35088907586056e-05	+	lldlp	L_LDL_P	Concentration of large LDL particles	mmol/l	Lipoprotein subclasses	Large LDL	average diameter 25.5 nm	no
WHR	totaltg	223	0.465314705503496	0.0420551423524375	1.86718667421503e-28	+	totaltg	Total_TG	Total triglycerides	mmol/l	Triglycerides	Triglycerides		no
WHR	idltgpct	223	0.302099335073028	0.0506467940348512	2.44894239504244e-09	+	idltgpct	IDL_TG_pct	Triglycerides to total lipids ratio in IDL	%	Relative lipoprotein lipid concentrations	IDL ratios		yes
WHR	mvldltg	223	0.471589633396168	0.0406213436107437	3.69175116850949e-31	+	mvldltg	M_VLDL_TG	Triglycerides in medium VLDL	mmol/l	Lipoprotein subclasses	Medium VLDL	average diameter 44.5 nm	no
WHR	mhdltgpct	223	0.480229459689914	0.0416558080660558	9.47681031085801e-31	+	mhdltgpct	M_HDL_TG_pct	Triglycerides to total lipids ratio in medium HDL	%	Relative lipoprotein lipid concentrations	Medium HDL ratios		yes
WHR	shdlc	223	0.144805424284756	0.0317478585949897	5.08843038541169e-06	+	shdlc	S_HDL_C	Cholesterol in small HDL	mmol/l	Lipoprotein subclasses	Small HDL	average diameter 8.7 nm	no
WHR	lvldlcepct	223	-0.266453694873368	0.0407822866081582	6.42225704692153e-11	-	lvldlcepct	L_VLDL_CE_pct	Cholesteryl esters to total lipids ratio in large VLDL	%	Relative lipoprotein lipid concentrations	Large VLDL ratios		yes
WHR	mvldll	223	0.385544329624372	0.0357582079293634	4.18767142501059e-27	+	mvldll	M_VLDL_L	Total lipids in medium VLDL	mmol/l	Lipoprotein subclasses	Medium VLDL	average diameter 44.5 nm	no
WHR	xxlvldlp	223	0.451215038765574	0.0437465942092899	6.07287930732038e-25	+	xxlvldlp	XXL_VLDL_P	Concentration of chylomicrons and extremely large VLDL particles	mmol/l	Lipoprotein subclasses	Chylomicrons and extremely large VLDL	particle diameters from 75 nm upwards	no
WHR	xlhdlplpct	223	-0.486299767219162	0.0344643339898378	3.28492961099729e-45	-	xlhdlplpct	XL_HDL_PL_pct	Phospholipids to total lipids ratio in very large HDL	%	Relative lipoprotein lipid concentrations	Very large HDL ratios		yes
WHR	xxlvldlfc	223	0.450361739453983	0.0445584064126948	5.13184068734293e-24	+	xxlvldlfc	XXL_VLDL_FC	Free cholesterol in chylomicrons and extremely large VLDL	mmol/l	Lipoprotein subclasses	Chylomicrons and extremely large VLDL	particle diameters from 75 nm upwards	no
WHR	lhdlfcpct	223	-0.355508390677165	0.0413661762108042	8.38610155416894e-18	-	lhdlfcpct	L_HDL_FC_pct	Free cholesterol to total lipids ratio in large HDL	%	Relative lipoprotein lipid concentrations	Large HDL ratios		yes
WHR	lhdlp	223	-0.523981494078332	0.0382029846525747	8.17492314672964e-43	-	lhdlp	L_HDL_P	Concentration of large HDL particles	mmol/l	Lipoprotein subclasses	Large HDL	average diameter 12.1 nm	no
WHR	xxlvldlpl	223	0.460514952628135	0.0454411770973237	3.89112917959005e-24	+	xxlvldlpl	XXL_VLDL_PL	Phospholipids in chylomicrons and extremely large VLDL	mmol/l	Lipoprotein subclasses	Chylomicrons and extremely large VLDL	particle diameters from 75 nm upwards	no
WHR	sldlcepct	223	0.323564949517039	0.0397510828428919	3.96006626308645e-16	+	sldlcepct	S_LDL_CE_pct	Cholesteryl esters to total lipids ratio in small LDL	%	Relative lipoprotein lipid concentrations	Small LDL ratios		yes
WHR	sfa	223	0.272027347465148	0.0317923202777351	1.16461422338543e-17	+	sfa	SFA	Saturated fatty acids	mmol/l	Fatty acids	Fatty acids		no
WHR	lvldlcpct	223	-0.135115787225309	0.0363274621507352	0.000199709114036431	-	lvldlcpct	L_VLDL_C_pct	Cholesterol to total lipids ratio in large VLDL	%	Relative lipoprotein lipid concentrations	Large VLDL ratios		yes
WHR	mhdlfcpct	223	-0.422333063095058	0.0393660191973263	7.49089952941909e-27	-	mhdlfcpct	M_HDL_FC_pct	Free cholesterol to total lipids ratio in medium HDL	%	Relative lipoprotein lipid concentrations	Medium HDL ratios		yes
WHR	mvldlcepct	223	-0.399260729568087	0.0483266636442588	1.43603993542249e-16	-	mvldlcepct	M_VLDL_CE_pct	Cholesteryl esters to total lipids ratio in medium VLDL	%	Relative lipoprotein lipid concentrations	Medium VLDL ratios		yes
WHR	pufabymufa	223	-0.390127782597686	0.037720830458465	4.52562514138265e-25	-	pufabymufa	PUFA_by_MUFA	Ratio of polyunsaturated fatty acids to monounsaturated fatty acids	ratio	Fatty acids	Fatty acid ratios		yes
WHR	xlhdlfc	223	-0.467451447862406	0.0411864165860649	7.4459434912316e-30	-	xlhdlfc	XL_HDL_FC	Free cholesterol in very large HDL	mmol/l	Lipoprotein subclasses	Very large HDL	average diameter 14.3 nm	no
WHR	mhdlcepct	223	-0.460151909944694	0.0389223924612287	2.99400855755935e-32	-	mhdlcepct	M_HDL_CE_pct	Cholesteryl esters to total lipids ratio in medium HDL	%	Relative lipoprotein lipid concentrations	Medium HDL ratios		yes
WHR	mldlce	223	0.293832721813902	0.0351490290124633	6.29176233675232e-17	+	mldlce	M_LDL_CE	Cholesteryl esters in medium LDL	mmol/l	Lipoprotein subclasses	Medium LDL	average diameter 23 nm	no
WHR	shdlfcpct	223	-0.273034885729325	0.036937080262626	1.44754743550542e-13	-	shdlfcpct	S_HDL_FC_pct	Free cholesterol to total lipids ratio in small HDL	%	Relative lipoprotein lipid concentrations	Small HDL ratios		yes
WHR	xsvldltgpct	223	0.338535732536974	0.0537102998003757	2.91948964324236e-10	+	xsvldltgpct	XS_VLDL_TG_pct	Triglycerides to total lipids ratio in very small VLDL	%	Relative lipoprotein lipid concentrations	Very small VLDL ratios		yes
WHR	svldlfc	223	0.27732295709738	0.0342321935298763	5.44051834246859e-16	+	svldlfc	S_VLDL_FC	Free cholesterol in small VLDL	mmol/l	Lipoprotein subclasses	Small VLDL	average diameter 36.8 nm	no
WHR	lhdlcpct	223	-0.525602118215214	0.0408432165433365	6.74646018846345e-38	-	lhdlcpct	L_HDL_C_pct	Cholesterol to total lipids ratio in large HDL	%	Relative lipoprotein lipid concentrations	Large HDL ratios		yes
WHR	shdlp	223	0.20066483584489	0.0323692306048783	5.67341574589095e-10	+	shdlp	S_HDL_P	Concentration of small HDL particles	mmol/l	Lipoprotein subclasses	Small HDL	average diameter 8.7 nm	no
WHR	xlvldlce	223	0.450289942900308	0.0366665960436214	1.15057979285039e-34	+	xlvldlce	XL_VLDL_CE	Cholesteryl esters in very large VLDL	mmol/l	Lipoprotein subclasses	Very large VLDL	average diameter 64 nm	no
WHR	acetate	223	-0.12671345768638	0.0256285237267738	7.64432374211363e-07	-	acetate	Acetate	Acetate	mmol/l	Ketone bodies	Ketone bodies		no
WHR	sldlplpct	223	-0.345515020460307	0.0406430898088867	1.87641343597586e-17	-	sldlplpct	S_LDL_PL_pct	Phospholipids to total lipids ratio in small LDL	%	Relative lipoprotein lipid concentrations	Small LDL ratios		yes
